# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	379383
#@/user_id	1ce8a279-56fe-406e-b0d5-b1f889d2d1cd
ai za di za di 	唉咋迪咋迪	c=1 d=1.01809e-05 t=379383
ai za za di 	愛咋咋地	c=5 d=2.05004e-63 t=379383
ai zhe 	挨着	c=5 d=1.13601e-59 t=379383
ai zhen de 	愛真的	c=1 d=4.22689e-76 t=379383
ai zi 	艾滋	c=2 d=0 t=379383
an 	俺	c=233 d=0.0513218 t=379383
an 	安	c=16 d=7.67859e-11 t=379383
an 	岸	c=34 d=1.67854e-05 t=379383
an 	按	c=167 d=0.00885126 t=379383
an 	暗	c=5 d=0.00145901 t=379383
an 	案	c=4 d=1.47187e-18 t=379383
an an 	按按	c=1 d=9.88215e-273 t=379383
an an jing jing 	安安靜靜	c=1 d=0 t=379383
an bian 	岸邊	c=2 d=0 t=379383
an bu shi 	俺不是	c=2 d=1.19568e-36 t=379383
an chu lai 	按出來	c=1 d=2.03483e-93 t=379383
an chu lai de 	按出來的	c=1 d=2.11385e-100 t=379383
an dan 	黯淡	c=2 d=0 t=379383
an de 	俺的	c=2 d=1.60938e-10 t=379383
an de 	安德	c=0 d=2.24501e-74 t=379383
an de 	按的	c=2 d=8.74757e-15 t=379383
an de le 	安德肋	c=0 d=2.88088e-08 t=379383
an de ma 	安德瑪	c=2 d=4.55812e-73 t=379383
an di 	暗地	c=1 d=0 t=379383
an dian rong 	按電容	c=1 d=2.65967e-67 t=379383
an dou 	俺都	c=4 d=1.57307e-65 t=379383
an ge 	安格	c=1 d=2.44942e-11 t=379383
an hao 	暗號	c=1 d=4.59421e-27 t=379383
an hei 	暗黑	c=2 d=7.66777e-225 t=379383
an hei mo shi 	暗黑模式	c=1 d=2.90611e-227 t=379383
an hong 	暗紅	c=1 d=0 t=379383
an ji 	安吉	c=1 d=0 t=379383
an jia 	安佳	c=2 d=4.55737e-12 t=379383
an jia 	安家	c=1 d=0 t=379383
an jia fei 	安家費	c=2 d=8.73626e-246 t=379383
an jian 	安檢	c=1 d=8.57144e-11 t=379383
an jian 	按鍵	c=78 d=5.90598e-07 t=379383
an jian 	案件	c=3 d=1.0313e-39 t=379383
an jian de 	按鍵的	c=1 d=2.81157e-44 t=379383
an jian sheng 	按劍聖	c=1 d=4.86654e-28 t=379383
an jian zhi 	按鍵值	c=4 d=2.63293e-07 t=379383
an jing 	安靜	c=9 d=0.0116203 t=379383
an jiu 	俺就	c=3 d=1.85953e-29 t=379383
an jiu hui zhe me yi ju 	俺就會這麼一句	c=1 d=7.18394e-198 t=379383
an jiu jue de 	俺就覺得	c=1 d=5.198e-156 t=379383
an jiu mei 	俺就沒	c=1 d=0 t=379383
an jiu shi 	按就是	c=3 d=0.000308127 t=379383
an jiu zai 	俺就在	c=1 d=1.01246e-28 t=379383
an ju 	安居	c=0 d=1.94741e-48 t=379383
an ju fang 	安居房	c=1 d=1.95717e-47 t=379383
an jue de 	按覺得	c=2 d=5.13e-60 t=379383
an li 	按理	c=3 d=8.66938e-27 t=379383
an li 	案例	c=97 d=3.25079e-07 t=379383
an li lai shuo 	按理來說	c=1 d=9.89858e-175 t=379383
an li shuo 	按理說	c=14 d=2.06088e-16 t=379383
an liang ci 	按兩次	c=1 d=1.06539e-98 t=379383
an men 	俺們	c=2 d=2.37432e-261 t=379383
an mo 	按摩	c=6 d=0.00278965 t=379383
an mo an mo 	按摩按摩	c=2 d=0 t=379383
an mo qi 	按摩器	c=1 d=0 t=379383
an ni 	按你	c=1 d=7.08318e-32 t=379383
an ni men 	按你們	c=1 d=3.89582e-87 t=379383
an niu 	按鈕	c=36 d=1.60884e-06 t=379383
an pai 	安排	c=28 d=0.000840258 t=379383
an pai de 	安排的	c=1 d=3.796e-17 t=379383
an qi 	安琪	c=2 d=4.87815e-56 t=379383
an qi quan 	按齊全	c=1 d=0 t=379383
an qu 	俺去	c=2 d=5.02296e-106 t=379383
an quan 	安全	c=45 d=6.22159e-05 t=379383
an quan fang mian 	安全方面	c=1 d=9.4743e-189 t=379383
an quan gan 	安全感	c=3 d=1.76025e-211 t=379383
an quan kong zhi 	安全控制	c=1 d=7.47912e-113 t=379383
an quan lu you 	安全路由	c=1 d=1.85786e-52 t=379383
an quan qi 	安全期	c=2 d=4.31847e-181 t=379383
an quan tao 	安全套	c=1 d=3.16899e-187 t=379383
an quan wen ti 	安全問題	c=1 d=4.21383e-69 t=379383
an quan xing 	安全性	c=5 d=3.43242e-09 t=379383
an ran 	安然	c=0 d=0 t=379383
an se 	暗色	c=3 d=4.62779e-133 t=379383
an sha 	暗殺	c=1 d=0 t=379383
an shen 	安神	c=0 d=2.5951e-308 t=379383
an shen bu nao 	安神補腦	c=1 d=2.6081e-307 t=379383
an shen me 	俺什麼	c=1 d=0 t=379383
an shi 	按時	c=10 d=8.70826e-11 t=379383
an shi 	暗示	c=25 d=6.79272e-10 t=379383
an shi da fa shi da fa shi da fa shi di fang 	暗示大法師大法師大法師地方	c=1 d=1.42406e-100 t=379383
an shou ben fen 	安守本分	c=1 d=1.70536e-15 t=379383
an shun xu 	按順序	c=1 d=0 t=379383
an shuo 	按說	c=1 d=1.52152e-261 t=379383
an ta 	安踏	c=5 d=2.00745e-14 t=379383
an wei 	安慰	c=12 d=1.05834e-20 t=379383
an xia 	按下	c=5 d=2.78749e-111 t=379383
an xian 	岸線	c=0 d=5.84219e-61 t=379383
an xian qu 	岸線去	c=1 d=5.87147e-60 t=379383
an xin 	安心	c=1 d=0 t=379383
an xu 	按需	c=1 d=5.08793e-22 t=379383
an ye 	俺也	c=13 d=9.50551e-22 t=379383
an yi wei 	俺以爲	c=2 d=2.6932e-236 t=379383
an ying 	暗影	c=0 d=6.48567e-55 t=379383
an you 	俺又	c=2 d=1.83182e-33 t=379383
an you dian 	俺有點	c=1 d=3.12614e-27 t=379383
an zhao 	按照	c=36 d=0.700751 t=379383
an zhe 	按着	c=1 d=2.12162e-55 t=379383
an zhe ge 	按這個	c=1 d=2.76783e-36 t=379383
an zhi dao 	俺知道	c=1 d=4.70315e-38 t=379383
an zhu 	按住	c=2 d=4.53999e-05 t=379383
an zhuang 	安裝	c=131 d=0.746557 t=379383
an zhuo 	安卓	c=8 d=5.62112e-18 t=379383
an zong 	岸總	c=1 d=2.6334e-156 t=379383
an zu hua 	安祖花	c=0 d=5.63321e-103 t=379383
an zu hua na ge 	安祖花那個	c=1 d=5.66145e-102 t=379383
ang 	昂	c=1 d=2.43215e-15 t=379383
ang gui 	昂貴	c=1 d=1.29078e-91 t=379383
ang tian qu 	昂天趣	c=1 d=1.85824e-25 t=379383
ao 	嗷	c=1 d=8.56367e-206 t=379383
ao 	奧	c=9 d=5.98213e-16 t=379383
ao 	敖	c=1 d=1.84137e-06 t=379383
ao 	澳	c=1 d=1.62666e-18 t=379383
ao 	熬	c=6 d=7.38505e-23 t=379383
ao bai 	鰲拜	c=1 d=2.87188e-29 t=379383
